power,character,universe,url
accelerated_healing,ahn_kwang_jo,prime_earth,https://dc.fandom.com/wiki/Ahn_Kwang-Jo_(Prime_Earth)
accelerated_healing,alec_holland,prime_earth,https://dc.fandom.com/wiki/Alec_Holland_(Prime_Earth)
accelerated_healing,alexander_staunton,prime_earth,https://dc.fandom.com/wiki/Alexander_Staunton_(Prime_Earth)
accelerated_healing,alton_carver,prime_earth,https://dc.fandom.com/wiki/Alton_Carver_(Prime_Earth)
accelerated_healing,andrew_pulaski,prime_earth,https://dc.fandom.com/wiki/Andrew_Pulaski_(Prime_Earth)
accelerated_healing,august_heart,prime_earth,https://dc.fandom.com/wiki/August_Heart_(Prime_Earth)
accelerated_healing,balam,prime_earth,https://dc.fandom.com/wiki/Balam_(Prime_Earth)
accelerated_healing,bane,prime_earth,https://dc.fandom.com/wiki/Bane_(Prime_Earth)
accelerated_healing,bar_torr,prime_earth,https://dc.fandom.com/wiki/Bar_Torr_(Prime_Earth)
accelerated_healing,bart_allen,prime_earth,https://dc.fandom.com/wiki/Bart_Allen_(Prime_Earth)
accelerated_healing,benjamin_orchard,prime_earth,https://dc.fandom.com/wiki/Benjamin_Orchard_(Prime_Earth)
accelerated_healing,bertok_raaf,prime_earth,https://dc.fandom.com/wiki/Bertok-Raaf_(Prime_Earth)
accelerated_healing,bleez,prime_earth,https://dc.fandom.com/wiki/Bleez_(Prime_Earth)
accelerated_healing,bonny_hoffman,prime_earth,https://dc.fandom.com/wiki/Bonny_Hoffman_(Prime_Earth)
accelerated_healing,calvin_rose,prime_earth,https://dc.fandom.com/wiki/Calvin_Rose_(Prime_Earth)
accelerated_healing,carmen_leno,prime_earth,https://dc.fandom.com/wiki/Carmen_Leno_(Prime_Earth)
accelerated_healing,carter_hall,prime_earth,https://dc.fandom.com/wiki/Carter_Hall_(Prime_Earth)
accelerated_healing,cassandra_sandsmark,prime_earth,https://dc.fandom.com/wiki/Cassandra_Sandsmark_(Prime_Earth)
accelerated_healing,caveman_flash,prime_earth,https://dc.fandom.com/wiki/Caveman_Flash_(Prime_Earth)
accelerated_healing,composite_swamp_thing,prime_earth,https://dc.fandom.com/wiki/Composite_Swamp_Thing_(Prime_Earth)
accelerated_healing,condor,prime_earth,https://dc.fandom.com/wiki/Condor_(Prime_Earth)
accelerated_healing,corum_rath,prime_earth,https://dc.fandom.com/wiki/Corum_Rath_(Prime_Earth)
accelerated_healing,daniel_cassidy,prime_earth,https://dc.fandom.com/wiki/Daniel_Cassidy_(Prime_Earth)
accelerated_healing,david_isherwood,prime_earth,https://dc.fandom.com/wiki/David_Isherwood_(Prime_Earth)
accelerated_healing,dawn_allen,prime_earth,https://dc.fandom.com/wiki/Dawn_Allen_(Prime_Earth)
accelerated_healing,deborah_dancer,prime_earth,https://dc.fandom.com/wiki/Deborah_Dancer_(Prime_Earth)
accelerated_healing,derek_james,prime_earth,https://dc.fandom.com/wiki/Derek_James_(Prime_Earth)
accelerated_healing,don_allen,prime_earth,https://dc.fandom.com/wiki/Don_Allen_(Prime_Earth)
accelerated_healing,eddie_bloodlines,prime_earth,https://dc.fandom.com/wiki/Eddie_(Bloodlines)_(Prime_Earth)
accelerated_healing,edward_clariss,prime_earth,https://dc.fandom.com/wiki/Edward_Clariss_(Prime_Earth)
accelerated_healing,ephraim_newhouse,prime_earth,https://dc.fandom.com/wiki/Ephraim_Newhouse_(Prime_Earth)
accelerated_healing,ethan_avery,prime_earth,https://dc.fandom.com/wiki/Ethan_Avery_(Prime_Earth)
accelerated_healing,etrigan,prime_earth,https://dc.fandom.com/wiki/Etrigan_(Prime_Earth)
accelerated_healing,fahai,prime_earth,https://dc.fandom.com/wiki/Fahai_(Prime_Earth)
accelerated_healing,felix_harmon,prime_earth,https://dc.fandom.com/wiki/Felix_Harmon_(Prime_Earth)
accelerated_healing,first_born,prime_earth,https://dc.fandom.com/wiki/First_Born_(Prime_Earth)
accelerated_healing,garth,prime_earth,https://dc.fandom.com/wiki/Garth_(Prime_Earth)
accelerated_healing,grant_wilson,prime_earth,https://dc.fandom.com/wiki/Grant_Wilson_(Prime_Earth)
accelerated_healing,helspont,prime_earth,https://dc.fandom.com/wiki/Helspont_(Prime_Earth)
accelerated_healing,henry_ballard,prime_earth,https://dc.fandom.com/wiki/Henry_Ballard_(Prime_Earth)
accelerated_healing,henry_hall,prime_earth,https://dc.fandom.com/wiki/Henry_Hall_(Prime_Earth)
accelerated_healing,idamm,prime_earth,https://dc.fandom.com/wiki/Idamm_(Prime_Earth)
accelerated_healing,iris_west_ii,prime_earth,https://dc.fandom.com/wiki/Iris_West_II_(Prime_Earth)
accelerated_healing,ivana_molotova,prime_earth,https://dc.fandom.com/wiki/Ivana_Molotova_(Prime_Earth)
accelerated_healing,jai_west,prime_earth,https://dc.fandom.com/wiki/Jai_West_(Prime_Earth)
accelerated_healing,jenni_ognats,prime_earth,https://dc.fandom.com/wiki/Jenni_Ognats_(Prime_Earth)
accelerated_healing,jesse_chambers,prime_earth,https://dc.fandom.com/wiki/Jesse_Chambers_(Prime_Earth)
accelerated_healing,jonathan_chambers,prime_earth,https://dc.fandom.com/wiki/Jonathan_Chambers_(Prime_Earth)
accelerated_healing,jonathan_samuel_kent,prime_earth,https://dc.fandom.com/wiki/Jonathan_Samuel_Kent_(Prime_Earth)
accelerated_healing,joseph_chamberlain,prime_earth,https://dc.fandom.com/wiki/Joseph_Chamberlain_(Prime_Earth)
